hrk,vendor,date,description,meansofpayment,city,category,currency,country,lcy,eur
34.71,sleep-planet,17.11.,supplies,credit-card,poznan,decorations,,,,
67.54,biedronka,17.11.,food,credit-card,poznan,groceries,,,,
17.80,elite-cukiern,18.11.,food,credit-card,poznan,groceries,,,,
103.00,carrefour,20.11.,food,credit-card,poznan,groceries,,,,
12.19,therms-malta,22.11.,activity,credit-card,poznan,activities,,,,
17.43,therms-malta,22.11.,activity,credit-card,poznan,activities,,,,
54.01,biedronka,22.11.,food,credit-card,poznan,groceries,,,,
128.21,zindo,23.11.,food,credit-card,poznan,fastfood,,,,
544.17,vans,23.11.,clothes,credit-card,poznan,clothes,,,,
233.20,flixbus,23.11.,bus,credit-card,poznan,travel,,,,
191.02,udemy,26.11.,course,credit-card,poznan,online,,,,
41.00,namecheap,26.11.,domain,credit-card,poznan,online,,,,
41.49,bakery,28.11.,food,credit-card,poznan,groceries,,,,
4.04,jakdojade,28.11.,bus,credit-card,poznan,transport,,,,
69.00,biedronka,28.11.,food,credit-card,poznan,groceries,,,,
153.00,dorm,28.11.,accomodation,cash,poznan,accomodation,,,,
18.50,jakdojade,29.11.,tram,cash,poznan,transport,,,,
40.11,tea-shop,29.11.,food,credit-card,poznan,groceries,,,,
38.32,rossmann,29.11.,supplies,credit-card,poznan,groceries,,,,
20.39,biedronka,29.11.,food,credit-card,poznan,groceries,,,,
34.88,pharmacy,30.11.,supplies,credit-card,poznan,groceries,,,,
9.00,bauhaus,30.11.,supplies,cash,poznan,groceries,,,,
20.00,atm,30.11.,withdrawal,credit-card,poznan,bank,,,,
23.00,christmas-bar,30.11.,alcohol,cash,poznan,activities,,,,
18.00,christmas-bar,30.11.,food,cash,poznan,fastfood,,,,
75.00,flixbus,02.12.,bus,credit-card,poznan,travel,,,,
4.50,gdynia-wc,03.12.,wc,cash,gdynia,wc,,,,
9.00,mcdonalds,03.12.,food,credit-card,gdynia,fastfood,,,,
5.00,pkp-skm,03.11.,train,credit-card,gdynia,travel,,,,
135.00,intercity,03.11.,train,credit-card,gdynia,travel,,,,
48.00,bobby-burgers,03.12.,food,credit-card,sopot,fastfood,,,,
3.50,pkp-skm,03.12.,train,credit-card,sopot,travel,,,,
8.00,biedronka,03.12.,food,cash,gdansk,groceries,,,,
130.00,flixbus,03.12.,bus,credit-card,gdansk,travel,,,,
4.50,krakow-wc,04.12.,wc,cash,krakow,wc,,,,
31.50,pizzaeria,04.12.,food,cash,krakow,fastfood,,,,
51.50,sereno,04.12.,accomodation,cash,krakow,travel,,,,
103.00,flixbus,05.12.,bus,cash,krakow,travel,,,,
69.00,biedronka,05.12.,food,cash,poznan,groceries,,,,
52.00,multikino,06.12.,cinema,cash,poznan,activities,,,,
54.00,wood-shop,06.12.,supplies,cash,poznan,groceries,,,,
16.50,biedronka,06.12.,food,credit-card,poznan,groceries,,,,
5.00,jakdojade,07.12.,bus,credit-card,poznan,transport,,,,
21.00,biedronka,07.12.,food,credit-card,poznan,groceries,,,,
15.00,tiger,07.12.,gifts,credit-card,poznan,gifts,,,,
665.00,dorm,11.12.,accomodation,credit-card,poznan,accomodation,,,,
172.00,biedronka,11.12.,food,credit-card,poznan,groceries,,,,
4.00,jakdojade,13.12.,tram,credit-card,poznan,transport,,,,
50.00,tiger,15.12.,gifts,credit-card,poznan,gifts,,,,
74.00,biedronka,15.12.,food,credit-card,poznan,groceries,,,,
4.00,jakdojade,18.12.,bus,credit-card,poznan,transport,,,,
17.00,ber-bus,18.12.,bus,credit-card,bergamo,travel,,,,
11.00,ber-bus,18.12.,bus,credit-card,bergamo,travel,,,,
41.00,ber-mil-train,18.12.,train,credit-card,bergamo,travel,,,,
52.00,mcdonalds,18.12.,food,credit-card,milano,fastfood,,,,
7.00,portello,18.12.,food,credit-card,milano,groceries,,,,
259.00,flixbus,18.12.,bus,credit-card,milano,travel,,,,
38.00,konzum,22.12.,food,cash,zagreb,groceries,,,,
15.00,ice-skating,23.12.,ice-skating,cash,zagreb,activities,,,,
15.00,ice-skating,23.12.,ice-skating,cash,zagreb,activities,,,,
100.00,ina,23.12.,gas,cash,zagreb,car,,,,
10.00,konzum,24.12.,food,credit-card,zagreb,groceries,,,,
100.00,ina,27.12.,gas,cash,zagreb,car,,,,
120.00,ice-skating,27.12.,ice-skating,cash,zagreb,activities,,,,
200.00,ina,27.12.,gas,cash,zagreb,car,,,,
